Line	Reads	Reads_after_fastp	Reads_final	Coverage	percentage_after_fastp	percentage_final
CA1100L102	49095694	48811522	43291446	41.806	99.4211875281771	88.1776841773537
CA1100L103	70748570	70444170	62828714	59.7087	99.5697439538354	88.8056309830715
CA1100L105	65536796	65318142	56209993	54.6397	99.666364525968	85.7686008940687
CA1100L106	73207254	72950544	64748720	61.8049	99.649338028715	88.4457706882435
CA1100L108	79624380	79078060	69435490	67.2202	99.3138784879706	87.203806170924
CA1100L10	53359542	53150592	45780648	43.8831	99.6084111816402	85.7965535011526
CA1100L111	76691214	76254310	67790331	63.5285	99.4303076229827	88.3938686900953
CA1100L113	70662862	70409286	62691624	57.5106	99.6411467172105	88.7193388798772
CA1100L114	81205168	80845156	51610137	48.1592	99.5566636842621	63.5552370262937
CA1100L11	91005220	90552422	73285433	72.6359	99.5024483210963	80.5288235114425
CA1100L16	75615158	75250496	67014655	66.2865	99.5177395516386	88.6259538067751
CA1100L24	111028788	110479424	96200718	90.3384	99.5052058030211	86.6448420566385
CA1100L27	61806964	61492892	54184844	52.7466	99.4918501416766	87.6678621522326
CA1100L28	33144988	32970906	27873506	26.8222	99.4747863538222	84.0956889168281
CA1100L29	75552212	74960192	56599670	53.7578	99.2164094414602	74.9146431344724
CA1100L30	54719628	54540800	40624904	39.3824	99.6731922227249	74.2419228434813
CA1100L32	104551934	104091902	93273601	88.5184	99.5599966615634	89.2126978731929
CA1100L35	40751190	40574728	36096988	33.5562	99.5669770625103	88.5789789206156
CA1100L36	42100642	41906422	37350474	35.4111	99.538676868633	88.7171126749088
CA1100L38	78742810	78492666	64718536	62.2216	99.6823278214227	82.1897719931509
CA1100L42	50368744	50126242	44893113	43.5349	99.5185466606036	89.1289109770138
CA1100L43	57029806	56798078	50516738	48.3277	99.5936721229597	88.5795368127326
CA1100L44	88907862	88550334	72856292	70.9281	99.5978668343189	81.9458373658788
CA1100L45	44439784	44138072	31500331	28.5766	99.3210768081141	70.8831775599989
CA1100L47	78078550	77761196	69350714	66.9314	99.593545218245	88.8217237640812
CA1100L49	94737662	94033724	83780985	81.9241	99.2569607639251	88.4347188133057
CA1100L4	106867522	106396536	95001139	87.9361	99.5592805080668	88.896174648833
CA1100L50	89186452	88798602	76814817	69.4237	99.5651245325916	86.1283471619658
CA1100L54	65697804	65401936	58625121	54.9305	99.549653136047	89.234521446105
CA1100L69	50951078	50657014	43502652	43.0537	99.4228502878781	85.3812200008801
CA1100L70	61561506	61258838	53763604	52.566	99.5083486099252	87.3331526359995
CA1100L74	38538810	38374538	34177534	31.9508	99.5737491635056	88.683418092048
CA1100L76	68563428	68291178	59091632	56.2119	99.6029224209735	86.1853523426512
CA1100L77	98130154	97752474	62810321	55.8715	99.6151234002955	64.0071562508707
CA1100L82	53685206	53440456	45845389	40.6993	99.5441015910417	85.3966901049052
CA1100L87	32970332	32857136	28951521	27.171	99.6566731569461	87.8108264120604
CA1100L93	38523486	38237108	31465875	29.5971	99.2566145234105	81.6797187045845
CA1100L96	120611396	120180086	102773085	96.5579	99.6423969754898	85.2100949067864
CA1100L98	60171040	59959434	53305036	51.163	99.6483258391412	88.5891884202101
CA2100L12	46185270	45961594	37805804	36.9406	99.5156984034087	81.8568431017075
CA2100L15	60464516	60217446	52183552	46.6458	99.5913801741173	86.3044235729928
CA2100L36	107641380	107178138	90968503	88.4572	99.5696431985543	84.5107179042112
CA2100L37	99423530	98765514	82440841	78.5467	99.3381687413432	82.9188432557162
CA2100L46	119816898	119344316	104048271	100.326	99.6055798406666	86.8393963929862
CA2100L52	62790386	62540118	54549743	49.2536	99.6014230586192	86.8759478560938
CA2100L66	54585530	54232378	47264692	45.1777	99.3530300063039	86.5883174533617
CA2100L72	57139240	56840626	49639576	47.7769	99.4773924189401	86.874757172129
CA2100L75	84587146	84041598	74372795	70.8192	99.355046214705	87.9244643151809
CA1100L84	51966652	51688802	45567153	44.166	99.4653301890605	87.6853736892652
CA1100L117	87567796	87148342	76271912	70.738	99.5209951384411	87.1004130331201
CA2100L97	40286276	40129416	35134966	35.0344	99.6106366346693	87.2132385728579
CA2100L7	72993902	72714838	64694162	61.4922	99.6176886118514	88.6295433281536
CA2100L49	53296250	53053864	47147755	46.6335	99.5452100288482	88.4635504374135
CA2100L60	48719470	48451672	43161864	42.7292	99.4503265326983	88.5926386309211
CA1100L62	82826144	82110116	72563518	68.0891	99.1355048473583	87.6094364600627
CA2100L34	68993792	68744714	61453224	58.2002	99.6389849104105	89.0706572556557
CA2100L91	64516652	64177886	56163562	54.6871	99.4749169563232	87.052815449878
CA2100L3	63397276	63125928	55506992	52.5988	99.571987919481	87.5542223612257
CA2100L98	29033828	28751666	24196999	22.5582	99.0281612193886	83.3407120824715
CA2100L31	61400432	61153340	55247848	51.7137	99.5975728639824	89.9795753880038
CA2100L11	86824546	86435028	75895432	73.2263	99.5513734100032	87.4124144570822
CA2100L74	70695360	70290862	59394044	57.3009	99.4278294926286	84.0140625919438
CA2100L30	37923982	37698846	33222365	29.8206	99.4063492594211	87.6025228574362
CA1100L120	34907600	34784736	30941815	28.9621	99.6480308013155	88.6391931842922
CA2100L113	59532104	59204578	52082335	50.4064	99.4498329842332	87.4861318524875
CA2100L56	37302998	37035492	32911847	30.2477	99.2828833757544	88.2284233562139
CA2100L42	55658718	55379778	48906959	45.3635	99.498838618597	87.8693594775216
CA2100L47	54380904	54026044	47896983	44.3537	99.347454760958	88.0768421944585
CA2100L120	72777952	72471162	64759974	60.2952	99.5784574976773	88.9829573659891
CA2100L53	48283616	48063630	42431412	40.039	99.5443878934005	87.8795241847669
CA2100L19	41528552	41344898	36695069	34.9569	99.5577644989885	88.3610606023538
CA1100L118	47005320	46797384	41530817	39.0659	99.5576330508972	88.353439568117
CA2100L105	48800316	48567924	42930271	39.4272	99.523789968901	87.9712971530758
CA2100L109	36143902	35981662	32135392	31.2565	99.5511276009989	88.9095814834823
CA2100L24	33840770	33715564	29986663	28.616	99.6300143288702	88.6110540628951
CA2100L64	108790320	108323396	96226203	92.2247	99.5708037259197	88.4510708305665
CA2100L107	67345216	67062186	58908609	56.7604	99.5797325826381	87.4725964202119
CA2100L104	36285978	36046796	31349977	29.1492	99.340841798449	86.3969465009321
A6140L37	42175990	41947686	37334235	35.8983	99.4586872768132	88.5201153547314
A6140L108	58367864	58139380	51479184	46.459	99.6085448664011	88.1978206363694
A6140L40	73283696	73006546	64411918	56.587	99.6218121968084	87.8939266381979
A6140L58	26478324	26322902	23417892	22.5675	99.4130217607429	88.441745784212
A6140L16	35767246	35534084	31838014	29.983	99.348113075298	89.0144407539792
A6140L132	37814330	37632162	33922470	32.5233	99.5182567032128	89.7079757858992
A6140L94	33067570	32934148	28985660	28.135	99.596517070955	87.6558513371258
A6140L30	60215570	59860716	53969759	52.8581	99.4106939451042	89.6275813713961
A6140L64	35994366	35804770	32135624	30.7464	99.473262009949	89.2795944787581
A6140L92	87954882	87567868	78849222	76.4616	99.5599857663387	89.6473512408328
A6140L282	121418434	120831470	108142385	106.472	99.5165775239697	89.0658703438722
A6140L57	34033870	33836022	30396273	29.1863	99.4186732217053	89.3118325950002
A6140L77	54956172	54285702	48425618	45.3398	98.779991444819	88.1167960534078
A6140L8	34922152	34791402	31105378	29.0383	99.625595810934	89.070621993742
A6140L34	82077640	81791904	73164383	68.4598	99.6518710820633	89.1404565238474
A6140L17	42251444	42037838	37133692	34.4209	99.494440947391	87.8873914936493
A6140L67	107743544	107394030	95716673	89.3573	99.6756056214375	88.8375019481446
A6140L86	35468770	35339954	31464982	30.054	99.6368185307807	88.71179350172
CA1100L104	85606144	84661032	75926411	109.092	98.8959764383267	88.6927122894357
CA1100L109	125437914	124067956	107120583	159.936	98.90785970819	85.3972930385306
CA1100L110	25099852	24796896	21462376	31.6707	98.7929968670732	85.5079782940553
CA1100L112	32739720	32381724	27337042	35.8436	98.9065392129194	83.4980934473477
CA1100L115	36533242	36097074	32336446	46.8463	98.8061065043174	88.5123909890067
