Line	Reads	Reads_after_fastp	Reads_final	Coverage
EEV1401	8162920	8156422	7543381	11.5596
EEV1402	3735524	3731694	0	0
LR1L401	8198806	8192890	7593202	11.6667
LR1L402	8226384	8219672	7327863	11.2474
LR3L100	8110508	8103920	7544848	11.5774
LR3L101	8195574	8188880	7616677	11.6412
LR3L103	8081208	8076054	7470232	11.4587
LR3L104	8287876	8282064	7701718	11.8183
LR3L105	8084202	8077426	7477729	11.434
LR3L106	8029280	8023288	7267535	11.1453
LR3L107	8140360	8133906	7525121	11.5247
LR3L108	8278886	8272958	7749517	11.8843
LR3L109	8008088	8001656	7396576	11.3372
LR3L10	8304416	8297576	7708470	11.8238
LR3L110	8163222	8156304	7535224	11.5667
LR3L111	8039034	8032112	7458554	11.4611
LR3L112	7703482	7696632	7161504	10.9834
LR3L114	7676894	7670776	7179500	11.0159
LR3L116	8020724	8014730	7463476	11.4631
LR3L118	8044250	8037666	7400130	11.3141
LR3L11	8310784	8304492	7718344	11.8494
LR3L120	8173190	8165626	7613378	11.7826
LR3L140	7619092	7611558	6878671	10.5221
LR3L141	7468786	7462444	6632210	10.1582
LR3L14	8272956	8266164	7657273	11.7351
LR3L15	8219014	8212148	7007127	10.7294
LR3L17	4085950	4083216	0	0
LR3L18	8097618	8090440	7473931	11.5699
LR3L19	8083708	8077478	7537851	11.5379
LR3L1	8259874	8253236	7671870	11.7675
LR3L20	8262856	8256612	7625436	11.6661
LR3L21	8131832	8125334	6757630	10.3658
LR3L23	8272794	8266174	7705111	11.8006
LR3L25	8115592	8108964	6865894	10.5143
LR3L26	8174932	8167614	7551029	11.6203
LR3L27	8036848	8030314	7194858	11.0003
LR3L28	7509710	7503152	7023843	10.7776
LR3L29	8069620	8063974	7485576	11.4814
LR3L2	8225234	8218260	7665487	11.7514
LR3L30	8147762	8141258	7534070	11.5933
LR3L333	8135470	8130168	5255371	8.20086
LR3L33	8080604	8074284	7342985	11.2528
LR3L34	8178518	8171154	7629346	11.71
LR3L35	8160356	8153624	7534641	11.5913
LR3L36	8034956	8028704	7525049	11.5433
LR3L3	8220750	8214156	7403100	11.4014
LR3L40	8237288	8229648	7707195	11.8381
LR3L43	8032456	8025988	7437397	11.3839
LR3L44	8183694	8176426	7609834	11.6672
LR3L45	8290652	8284048	7725657	11.8577
LR3L46	8039144	8033134	7423817	11.3541
LR3L48	8046746	8040258	7501008	11.5094
LR3L49	8110912	8103990	7542937	11.5611
LR3L4	8168988	8161920	7436165	11.5458
LR3L50	8038864	8031688	7482852	11.4486
LR3L51	8108166	8101264	7551078	11.566
LR3L54	8171822	8164490	7335873	11.3083
LR3L55	8054454	8048940	7444396	11.399
LR3L56	8050632	8044358	7444750	11.4508
LR3L57	8073210	8066924	7491632	11.498
LR3L59	8071904	8065036	7457219	11.4355
LR3L5	3775106	3772108	0	0
LR3L60	8091012	8084166	7504156	11.547
LR3L62	8146206	8142138	3905668	5.99594
LR3L63	8077380	8070992	7378181	11.3017
LR3L64	8116390	8110034	7578644	11.6284
LR3L65	8150658	8144138	7522349	11.5437
LR3L66	8168578	8160850	7480814	11.542
LR3L68	8117742	8111846	7442675	11.4283
LR3L69	8240984	8234634	7680834	11.7939
LR3L6	8215360	8209030	7391752	11.3271
LR3L70	8094306	8087774	7552310	11.5628
LR3L71	8021002	8014528	7520314	11.5265
LR3L75	8080712	8074884	7108612	10.8858
