Line	Reads	Reads_after_fastp	Reads_final	Coverage
AB1	48170900	761684	23706	3.00735
CB4507	68500682	65580168	53994448	27.8833
CB4852	48094960	1006470	32916	5.18335
CB4855	41467724	718124	24101	3.97682
CB4858	67500972	64822106	48560218	25.4238
JU319	196331360	180075414	138783521	72.0582
JU345	73629592	70436408	53846897	28.1639
JU400	216916660	199459072	159156218	81.9857
MY16	219988776	206365546	168927314	89.3467
MY1	165453578	119294322	89567898	46.8273
PB306	36815624	36805674	32081790	31.1362
PX174	69374126	66420346	49407228	25.8466
PX179	50742690	948764	28384	3.12655
RC301	183062388	140503332	116041412	60.9501
N2_ANC	71435796	1271644	43940	3.79006
CB4856.A6330	76041020	68726326	49880166	51.1764
