Line	Reads	Reads_after_fastp	Reads_final	Coverage
CA1100L102	49095694	48811522	43291446	41.806
CA1100L103	70748570	70444170	62828714	59.7087
CA1100L105	65536796	65318142	56209993	54.6397
CA1100L106	73207254	72950544	64748720	61.8049
CA1100L108	79624380	79078060	69435490	67.2202
CA1100L10	53359542	53150592	45780648	43.8831
CA1100L111	76691214	76254310	67790331	63.5285
CA1100L113	70662862	70409286	62691624	57.5106
CA1100L114	81205168	80845156	51610137	48.1592
CA1100L11	91005220	90552422	73285433	72.6359
CA1100L16	75615158	75250496	67014655	66.2865
CA1100L24	111028788	110479424	96200718	90.3384
CA1100L27	61806964	61492892	54184844	52.7466
CA1100L28	33144988	32970906	27873506	26.8222
CA1100L29	75552212	74960192	56599670	53.7578
CA1100L30	54719628	54540800	40624904	39.3824
CA1100L32	104551934	104091902	93273601	88.5184
CA1100L35	40751190	40574728	36096988	33.5562
CA1100L36	42100642	41906422	37350474	35.4111
CA1100L38	78742810	78492666	64718536	62.2216
CA1100L42	50368744	50126242	44893113	43.5349
CA1100L43	57029806	56798078	50516738	48.3277
CA1100L44	88907862	88550334	72856292	70.9281
CA1100L45	44439784	44138072	31500331	28.5766
CA1100L47	78078550	77761196	69350714	66.9314
CA1100L49	94737662	94033724	83780985	81.9241
CA1100L4	106867522	106396536	95001139	87.9361
CA1100L50	89186452	88798602	76814817	69.4237
CA1100L54	65697804	65401936	58625121	54.9305
CA1100L69	50951078	50657014	43502652	43.0537
CA1100L70	61561506	61258838	53763604	52.566
CA1100L74	38538810	38374538	34177534	31.9508
CA1100L76	68563428	68291178	59091632	56.2119
CA1100L77	98130154	97752474	62810321	55.8715
CA1100L82	53685206	53440456	45845389	40.6993
CA1100L87	32970332	32857136	28951521	27.171
CA1100L93	38523486	38237108	31465875	29.5971
CA1100L96	120611396	120180086	102773085	96.5579
CA1100L98	60171040	59959434	53305036	51.163
CA2100L12	46185270	45961594	37805804	36.9406
CA2100L15	60464516	60217446	52183552	46.6458
CA2100L36	107641380	107178138	90968503	88.4572
CA2100L37	99423530	98765514	82440841	78.5467
CA2100L46	119816898	119344316	104048271	100.326
CA2100L52	62790386	62540118	54549743	49.2536
CA2100L66	54585530	54232378	47264692	45.1777
CA2100L72	57139240	56840626	49639576	47.7769
CA2100L75	84587146	84041598	74372795	70.8192
CA1100L84	51966652	51688802	45567153	44.166
CA1100L117	87567796	87148342	76271912	70.738
CA2100L97	40286276	40129416	35134966	35.0344
CA2100L7	72993902	72714838	64694162	61.4922
CA2100L49	53296250	53053864	47147755	46.6335
CA2100L60	48719470	48451672	43161864	42.7292
CA1100L62	82826144	82110116	72563518	68.0891
CA2100L34	68993792	68744714	61453224	58.2002
CA2100L91	64516652	64177886	56163562	54.6871
CA2100L3	63397276	63125928	55506992	52.5988
CA2100L98	29033828	28751666	24196999	22.5582
CA2100L31	61400432	61153340	55247848	51.7137
CA2100L11	86824546	86435028	75895432	73.2263
CA2100L74	70695360	70290862	59394044	57.3009
CA2100L30	37923982	37698846	33222365	29.8206
CA1100L120	34907600	34784736	30941815	28.9621
CA2100L113	59532104	59204578	52082335	50.4064
CA2100L56	37302998	37035492	32911847	30.2477
CA2100L42	55658718	55379778	48906959	45.3635
CA2100L47	54380904	54026044	47896983	44.3537
CA2100L120	72777952	72471162	64759974	60.2952
CA2100L53	48283616	48063630	42431412	40.039
CA2100L19	41528552	41344898	36695069	34.9569
CA1100L118	47005320	46797384	41530817	39.0659
CA2100L105	48800316	48567924	42930271	39.4272
CA2100L109	36143902	35981662	32135392	31.2565
CA2100L24	33840770	33715564	29986663	28.616
CA2100L64	108790320	108323396	96226203	92.2247
CA2100L107	67345216	67062186	58908609	56.7604
CA2100L104	36285978	36046796	31349977	29.1492
A6140L37	42175990	41947686	37334235	35.8983
A6140L108	58367864	58139380	51479184	46.459
A6140L40	73283696	73006546	64411918	56.587
A6140L58	26478324	26322902	23417892	22.5675
A6140L16	35767246	35534084	31838014	29.983
A6140L132	37814330	37632162	33922470	32.5233
A6140L94	33067570	32934148	28985660	28.135
A6140L30	60215570	59860716	53969759	52.8581
A6140L64	35994366	35804770	32135624	30.7464
A6140L92	87954882	87567868	78849222	76.4616
A6140L282	121418434	120831470	108142385	106.472
A6140L57	34033870	33836022	30396273	29.1863
A6140L77	54956172	54285702	48425618	45.3398
A6140L8	34922152	34791402	31105378	29.0383
A6140L34	82077640	81791904	73164383	68.4598
A6140L17	42251444	42037838	37133692	34.4209
A6140L67	107743544	107394030	95716673	89.3573
A6140L86	35468770	35339954	31464982	30.054
