Line	Reads	Reads_after_fastp	Reads_final	Coverage
A6140L100	5249450	4857334	4171255	6.50259
A6140L101	2166446	1901708	1446632	2.16226
A6140L102	5104096	4734350	3937154	6.2229
A6140L104	2838142	2585180	2131437	2.6793
A6140L105	3339550	3062792	2621211	3.14418
A6140L106	24798284	24400332	20042469	10.5457
A6140L107	3821814	3528428	2411436	2.87565
A6140L108	3243532	2970144	2633578	3.13657
A6140L109	4004512	3594992	2273688	2.89084
A6140L10	13321382	12449034	10115359	11.1353
A6140L110	28580134	27053860	15663499	8.27785
A6140L112	42664496	41464846	35123412	18.5149
A6140L113	27080796	26634872	21693102	11.4146
A6140L115	433986	384352	200170	1.76295
A6140L116	2016080	2002506	1692770	2.4229
A6140L11	32496804	30364004	25109761	24.712
A6140L120	3566962	3185810	2247977	2.72582
A6140L122	33480004	32338586	27748244	14.6107
A6140L123	43201146	41926798	35144920	18.4783
A6140L124	34335390	33347758	16674729	8.79987
A6140L125	6481678	6438142	5570066	5.64466
A6140L126	24626862	23290308	20471498	21.1987
A6140L12	31701836	28819144	22285452	22.188
A6140L133	2165468	2150548	1849295	2.65996
A6140L134	29402238	28656340	13459503	7.10787
A6140L135	26069814	25271070	11445569	6.11285
A6140L137	3643890	3616954	3073105	3.66029
A6140L13	31122094	30121838	25011098	13.1223
A6140L142	25377792	24333782	21519166	22.1826
A6140L153	24946514	23780866	20821830	21.4461
A6140L155	29972958	28689948	23966122	12.5936
A6140L156	21780550	20807760	18507395	19.2102
A6140L157	28319696	27613938	15972232	8.45103
A6140L158	28510962	27627740	22717405	11.9471
A6140L168	2775620	2539006	2147872	2.67166
A6140L169	32318054	30923028	27322313	28.2278
A6140L16	1762656	1746200	1444913	2.24525
A6140L175	4919478	4846284	1179210	2.45587
A6140L176	8015556	7959200	6792279	6.94258
A6140L179	5888152	5471388	4516910	7.05917
A6140L17	21040534	19145012	15006792	15.6586
A6140L181	36289150	33518684	13345339	7.06819
A6140L182	208802	206760	162625	1.40547
A6140L183	23511710	21885408	10649034	5.82373
A6140L184	26403096	25451562	9605499	5.13408
A6140L185	22588448	21946296	12067092	6.44967
A6140L188	63508	62594	52845	1.37507
A6140L18	21918670	21492954	17054830	8.97865
A6140L190	3805208	3510452	2876725	3.27507
A6140L192	1910208	1888684	1232261	2.12166
A6140L19	40367128	38972522	22834268	12.043
A6140L200	2616072	2595812	2237469	2.93712
A6140L201	22391314	21946962	17687542	9.31205
A6140L203	22699650	22248622	18085366	9.51132
A6140L205	26908788	26322954	21332302	11.1717
A6140L20	23987150	21803572	17671398	18.0233
A6140L211	30030144	28728126	25026909	25.9016
A6140L214	20476200	19606834	17487291	18.0682
A6140L217	3314788	3102804	2360046	2.77094
A6140L218	24086030	22984598	20723894	21.3706
A6140L21	18300014	16959524	13352064	13.3142
A6140L225	19890340	19083982	17128929	17.6651
A6140L226	29505156	28099260	25022884	25.8044
A6140L227	1449708	1406342	1132388	2.68164
A6140L228	25682034	24430000	21653633	22.3515
A6140L231	22295522	20541594	8419516	4.69557
A6140L233	22763590	21855628	19643411	20.23
A6140L234	31683190	29345582	14101776	14.738
A6140L236	3898248	3483758	2422972	2.85968
A6140L239	1218712	1209516	1041687	1.95844
A6140L23	1262082	1251172	955554	1.90431
A6140L244	3810568	3378426	2189878	2.65491
A6140L246	2866496	2648818	1928153	2.59504
A6140L247	5214808	4689618	1982419	2.48877
A6140L248	3977466	3566196	2276633	2.78026
A6140L24	25177092	24212322	21558721	22.2858
A6140L250	3290406	3028036	2682585	3.14003
A6140L251	41042042	38203282	14823699	7.82246
A6140L252	5167852	4882242	3064446	3.3715
A6140L253	7698322	7069114	6010757	6.26787
A6140L257	4039502	3693784	2894296	3.27653
A6140L258	3701048	3380700	2806383	3.19933
A6140L25	505838	471818	361837	1.75977
A6140L261	17723150	15740980	10446759	11.3857
A6140L264	4570514	4111730	2874327	3.2554
A6140L265	14695994	13379528	11228063	12.0897
A6140L266	2612352	2374856	1781325	2.38436
A6140L268	3251692	2832894	1691855	2.26068
A6140L26	4875926	4664856	344831	1.55771
A6140L271	4437260	4187062	3673893	3.97915
A6140L272	4107810	3791476	3087175	3.50873
A6140L273	3732458	3381156	2412894	2.90443
A6140L27	423594	382666	292565	1.61295
A6140L282	3900740	3356446	1684754	2.27939
A6140L283	4169066	3996286	3356313	3.61169
A6140L287	3484788	3250154	2733148	3.16792
A6140L289	2783530	2499258	1745217	2.29393
A6140L28	2819326	2798230	2355286	2.993
A6140L290	3581872	3224314	2376861	2.85519
A6140L293	2405894	2126730	602300	1.52963
A6140L29	10405200	9529784	7876297	8.83204
A6140L309	3495444	3085624	1200357	2.14101
A6140L30	1860386	1846106	1503348	2.31847
A6140L317	5187916	4871424	4334200	4.59567
A6140L31	2905830	2879564	2074496	2.74634
A6140L324	3515724	3029526	1849333	2.38124
A6140L326	3302392	2833100	1093432	1.79927
A6140L331	24667614	23479800	20916369	21.6012
A6140L337	4488404	4078138	3538559	3.90522
A6140L33	444610	400732	290252	1.70913
A6140L349	3555948	3137230	2233614	2.76772
A6140L34	1009940	1001830	808750	1.79461
A6140L350	4533366	3864312	1779068	2.93038
A6140L351	4280634	3871648	3227005	3.61387
A6140L353	4006650	3510324	1958224	2.48434
A6140L355	3903500	3522530	2658959	3.06459
A6140L357	3983834	3585220	3014373	3.40141
A6140L35	42627862	38073910	26187086	25.2235
A6140L36	1802044	1780656	1196348	2.05596
A6140L37	7567130	7512180	6516056	6.38407
A6140L38	6818362	6420418	3141797	5.04793
A6140L3	870886	863116	692797	1.72162
A6140L40	1669482	1643656	745954	1.77598
A6140L41	1176642	1077142	861983	2.18545
A6140L42	1718806	1701300	1393960	2.23269
A6140L43	4183432	4127476	1880950	2.65624
A6140L44	2058384	2035856	1516713	2.31298
A6140L45	5964702	5910426	4927570	5.18323
A6140L46	52567080	48432762	34816140	31.7756
A6140L47	1553678	1533772	1148490	1.9776
A6140L48	2666186	2294590	1223016	1.91125
A6140L49	3142078	2802514	1786444	2.39332
A6140L50	787092	735684	220624	1.9107
A6140L52	5363224	5098544	4007140	6.3444
A6140L55	3169652	2841614	1785950	2.3768
A6140L56	3183214	2899654	2287528	2.75779
A6140L57	1113882	1099814	637792	1.70463
A6140L58	3333754	2989486	1557007	2.28713
A6140L59	1134256	1116526	85810	1.47216
A6140L5	2398752	2369076	1968693	2.66568
A6140L60	3470952	3064136	1518667	2.12282
A6140L61	3555822	3224866	2206451	2.85742
A6140L62	2191112	1871176	1211700	1.93599
A6140L63	3701870	3495498	3007352	3.37463
A6140L64	2473512	2241386	1935907	2.58767
A6140L65	1199402	1186542	766537	1.78373
A6140L66	2909616	2872626	1565306	2.402
A6140L67	1202894	1188894	659439	1.69484
A6140L68	1662772	1647216	1121595	2.07608
A6140L69	82952	70016	51253	1.20501
A6140L6	2021048	2002354	1508447	2.3517
A6140L70	953220	861638	553565	2.05793
A6140L71	20481994	18074632	11809190	12.7618
A6140L72	122640	120772	97613	1.90834
A6140L73	4285462	3979332	3071193	4.94596
A6140L74	1977744	1747266	1250088	2.04612
A6140L75	2530766	2164916	1417954	2.07408
A6140L77	1939692	1682312	859738	1.64672
A6140L78	2817806	2534930	1900978	2.51415
A6140L79	3932638	3543340	2696644	3.15297
A6140L7	2541664	2519740	2053099	2.65868
A6140L80	2775688	2525826	954317	1.97816
A6140L81	2838414	2601280	1989137	2.62476
A6140L82	3484672	3174566	2219831	2.70359
A6140L83	3727970	3363144	2026982	2.62983
A6140L84	1542512	1524356	915296	1.90393
A6140L85	2534972	2505326	1453327	2.31486
A6140L86	7895280	7776964	3179008	3.67267
A6140L87	719108	705788	226215	1.47312
A6140L88	68734	57544	37422	1.24712
A6140L89	4086592	3742504	2788301	3.33742
A6140L8	12301462	11357024	8881708	9.4134
A6140L90	3480840	3186454	2017376	2.74074
A6140L91	4867810	4418646	2949655	3.29835
A6140L92	4993464	4896224	823751	2.0833
A6140L94	2062082	1763334	1099700	1.83242
A6140L95	3630274	3572602	1504110	2.24781
A6140L96	224114	183848	77115	1.34525
A6140L97	19122108	15351832	3961619	5.15569
A6140L99	3016296	2759540	2282113	2.83038
A6140L9	7169596	6496406	4840968	5.87897
CA150L10	3400194	3327638	319282	1.65681
CA150L13	3456694	3393760	1639528	3.31628
CA150L14	4375018	4184382	2345620	4.02379
CA150L15	2105808	2065284	1626148	3.58003
CA150L16	4457852	4270466	2422390	4.51627
CA150L18	4568024	4383694	2624358	4.65386
CA150L1	4598754	4418884	848609	2.93537
CA150L21	4408266	4231184	2365171	4.03515
CA150L22	4441368	4195798	2516983	4.3059
CA150L23	4422626	4184938	2348535	4.20125
CA150L24	4689558	4462770	3366675	5.40378
CA150L26	4541764	4368902	2781211	4.86924
CA150L27	4734344	4563160	3638215	5.83404
CA150L28	4746044	4583524	3455149	5.55387
CA150L29	3861564	3591022	2028126	4.06684
CA150L2	4502494	4319594	1988322	4.10908
CA150L31	4672610	4499276	2919836	4.81287
CA150L32	4502378	4306846	2393549	4.00698
CA150L33	4532912	4357746	2460479	4.20679
CA150L34	4447656	4265734	2475372	4.38712
CA150L35	4716298	4569884	3548015	5.66665
CA150L36	4041336	3897250	2515003	4.36353
CA150L39	4505098	4352108	2613228	4.34489
CA150L3	4753668	4592464	1614276	3.35801
CA150L40	4648696	4468350	1527809	3.32716
CA150L41	3408250	3347716	2169066	3.71525
CA150L42	4721746	4551148	3120045	5.20974
CA150L43	4338690	4168480	2521609	4.33966
CA150L44	4508356	4341656	2933721	4.88938
CA150L45	4670906	4499106	3225677	5.35113
CA150L46	4615002	4416922	2255550	4.33486
CA150L47	4434632	4224696	2490623	4.29356
CA150L48	4539014	4357678	3046844	4.92731
CA150L49	3094192	2989358	1246475	2.94581
CA150L51	3239706	3147966	1987760	3.64526
CA150L52	3146408	3136600	0	0
CA150L5	4622186	4419344	1479835	3.48538
CA150L7	4617308	4457050	2926577	4.99482
CA150L8	4444760	4262438	1804131	3.88242
CA250L10	4725932	4574456	3472621	5.74746
