Line	Reads	Reads_after_fastp	Reads_final	Coverage
CA1100L104	85606144	84661032	75926411	109.092
CA1100L109	125437914	124067956	107120583	159.936
CA1100L110	25099852	24796896	21462376	31.6707
CA1100L112	32739720	32381724	27337042	35.8436
CA1100L115	36533242	36097074	32336446	46.8463
CA1100L116	23550408	23267346	20657846	30.4851
CA1100L119	248447042	246775966	217758957	271.004
CA1100L14	31703690	31466758	27788935	40.3218
CA1100L17	169242674	167835422	155559888	206.788
CA1100L19	122917158	118368858	108435270	145.25
CA1100L1	38120072	37855844	34144646	48.1864
CA1100L20	137595700	136268264	121699182	165.214
CA1100L26	36539512	36262758	32650864	46.1347
CA1100L2	166030200	164215444	146985893	211.295
CA1100L34	35662534	35387666	31450675	44.9366
CA1100L37	22834228	22503348	19134628	27.3727
CA1100L39	102230294	101095898	91151342	133.116
CA1100L40	59163406	58421668	49715488	74.1167
CA1100L48	21206902	20950058	18496771	27.3982
CA1100L51	26961018	26772182	22735053	32.3499
CA1100L55	34726482	34427786	31047944	44.5211
CA1100L58	97859094	96942650	81945522	120.041
CA1100L59	171836934	170724632	150904680	210.915
CA1100L60	102220032	101357030	90656792	130.891
CA1100L63	44235474	43916108	39813743	54.9606
CA1100L67	162772424	161261530	148627095	213.64
CA1100L68	112780578	111489290	96301785	143.671
CA1100L72	31177596	30868246	27415796	39.3968
CA1100L73	32211396	31873490	20350076	30.3636
CA1100L75	27320200	27062792	24028355	35.4289
CA1100L78	110030902	108613844	96976156	142.569
CA1100L79	93315160	92089464	76179914	112.618
CA1100L7	158162212	157077242	145928668	211.299
CA1100L83	102479614	101739324	90965630	127.943
CA1100L88	91431592	90083034	80095511	119.194
CA1100L89	39793298	39329362	34712065	49.5495
CA1100L91	35604572	35268140	28626348	40.4719
CA1100L92	152624192	151270488	134635346	183.257
CA1100L94	33230562	32965172	29388307	42.5652
CA1100L99	127516706	126054400	109728955	162.982
CA2100L73	136504360	135178620	117331231	169.352
CA2100L101	24289350	24065560	20952878	30.9008
CA2100L112	70099918	69368520	60495776	88.9601
CA2100L23	143853112	142731142	127398901	180.56
CA2100L25	175795030	173924622	154044625	221.417
CA2100L41	149884730	148572900	131784445	189.87
CA2100L43	24109316	23923752	21473153	30.2495
CA2100L45_1_G7	151507428	150289296	134275932	185.867
CA2100L45_2_H7	212493376	210940254	185537998	249.091
CA2100L51	102420422	101186954	89861481	132.299
CA2100L58	97875256	96642300	84153166	124.804
CA2100L59	23932634	23669648	20908360	31.2346
CA2100L5	49780968	49246898	44031260	63.3647
CA2100L65	127738656	126665270	114354076	161.032
CA2100L68	109792328	108691358	93074052	136.978
CA2100L6	64444344	63702798	56479966	83.1386
CA2100L70	94202418	93481112	79562250	106.575
CA2100L77	24516282	24201562	21820240	31.956
CA2100L79	28264592	28011764	24168621	35.7323
CA2100L81	192349856	190794904	170128150	225.216
CA2100L85	102446210	101213568	73800414	105.071
CA2100L89	114818770	113558444	98811264	142.581
CA2100L96	222572554	220190588	197084665	289.533
CA2100L29	83890316	82896386	73507590	108.491
CA2100L55	36015630	35751000	31864579	44.8391
CA2100L67	94536456	93367128	81670112	121.749
CA2100L111	30038184	29617692	25329068	37.3447
CA2100L20	33984228	33573370	29535608	44.0516
CA2100L32	101744070	100729464	89042813	129.511
CA2100L108	163708630	162737498	144601369	189.095
CA2100L115	34983304	34670138	28661340	43.2098
CA2100L102	32411950	32026738	28404483	42.1499
CA2100L17	112530206	111482722	98495204	130.431
CA2100L16	87337750	86666196	74374509	105.424
CA2100L18	35542638	35285126	32060318	45.8474
CA2100L106	21137460	20935052	18270346	26.7024
A6140L51	26207444	25918912	23011698	33.2561
A6140L95	37676650	37346726	32960154	47.0367
A6140L103	34935610	34507822	31302890	45.3115
A6140L224	27181570	26650330	23615442	35.0575
A6140L96	212353256	211023930	190402030	219.981
A6140L33	115219396	114337338	101917199	148.923
A6140L43	127197788	126122846	113098418	156.085
A6140L6	28774158	28477262	24733924	36.4549
A6140L61	187778974	186363008	166712392	220.489
A6140L91	117873642	116950254	104620255	147.157
A6140L97	83171818	82242722	72850343	107.542
A6140L65	28023446	27757966	25012711	36.7312
A6140L47	40461638	40078608	35787093	52.0161
A6140L83	172511210	171094632	154297013	210.762
A6140L146	98954294	97934658	88021840	123.204
A6140L79	104677124	103335244	91989110	136.581
A6140L73	77559380	74958932	68011313	93.7005
A6140L89	185970684	184442156	164739459	217.166
A6140L32	78480360	77422552	69122728	101.459
A6140L355	103077578	102031260	90900128	133.811
