Line	Reads	Reads_after_fastp	Reads_final	Coverage
AB1	160231744	154230466	133846235	195.288
CB4507	198414594	196360866	148270448	216.695
CB4852	82487318	80682246	61189623	88.405
CB4855	89449408	86946522	77651585	113.369
CB4856	51143294	50363360	34700806	52.3537
CB4858	126326048	122671566	83315660	120.544
JU319	129148248	127249718	95425302	141.31
JU345	53756242	53110712	40992872	60.5806
JU400	234537404	229666064	140278068	203.587
MY16	33640822	32717088	25700772	38.503
MY1	49792356	49159262	39719113	54.8728
N2	44431526	43277978	26705546	39.1259
PB306	138420294	134649226	92421745	136.195
PX174	68758866	67316388	55798148	81.8518
Ele.PX179	53045194	52558874	43457047	62.5514
RC301	141816670	140437556	112842135	163.474
