Line,Issue
A6140L30CeMee,Shared_several_isotype_groups
A6140L64,Shared_several_isotype_groups
A6140L97,Shared_several_isotype_groups
CA1100L111,Shared_several_isotype_groups
CA1100L112,Shared_several_isotype_groups
CA1100L113,Shared_several_isotype_groups
CA1100L113CeMee,Shared_several_isotype_groups
CA1100L116,Shared_several_isotype_groups
CA1100L82,Shared_several_isotype_groups
CA1100L87,Shared_several_isotype_groups
CA1100L91,Shared_several_isotype_groups
CA2100L112,Shared_several_isotype_groups
CA3100L19CeMee,Shared_several_isotype_groups
CA3100L29CeMee,Shared_several_isotype_groups
CA3100L30CeMee,Shared_several_isotype_groups
CA3100L39CeMee,Shared_several_isotype_groups
CA3100L69CeMee,Shared_several_isotype_groups
