Line,Isotype_group_number,Representant_line
A6140L102,1,A6140L103
A6140L102CeMee,1,A6140L103
A6140L109CeMee,2,A6140L109
A6140L110CeMee,3,A6140L111CeMee
A6140L11CeMee,4,A6140L32
A6140L264CeMee,5,A6140L132
A6140L146CeMee,6,A6140L146
A6140L14CeMee,7,A6140L15
A6140L29CeMee,7,A6140L15
A6140L16CeMee,8,A6140L16
A6140L17CeMee,9,A6140L17
A6140L76CeMee,9,A6140L17
A6140L177CeMee,10,A6140L177
A6140L2CeMee,11,A6140L18CeMee
A6140L211CeMee,12,A6140L24CeMee
A6140L224CeMee,13,A6140L224
A6140L236CeMee,14,A6140L294CeMee
A6140L282CeMee,15,A6140L282
A6140L309CeMee,16,A6140L309
CA1100L45,17,A6140L33
CA1100L45CeMee,17,A6140L33
CA1100L47,17,A6140L33
A6140L355CeMee,18,A6140L355
A6140L37CeMee,19,A6140L37
A6140L4CeMee,20,A6140L4
CA1100L26,20,A6140L4
A6140L73,21,A6140L47
A6140L73CeMee,21,A6140L47
A6140L51CeMee,22,A6140L51
A6140L58CeMee,23,A6140L58
A6140L61CeMee,24,A6140L61
A6140L63CeMee,25,A6140L86
A6140L86CeMee,25,A6140L86
A6140L79CeMee,26,A6140L79
A6140L8CeMee,27,A6140L8
A6140L83CeMee,28,A6140L83
A6140L92CeMee,29,A6140L92
A6140L99CeMee,30,A6140L93CeMee
A6140L95CeMee,31,A6140L95
CA1100L102,32,CA1100L97
CA1100L97CeMee,32,CA1100L97
CA1100L104,33,CA1100L105
CA1100L106,33,CA1100L105
CA1100L108,33,CA1100L105
CA1100L109,33,CA1100L105
CA1100L110,33,CA1100L105
CA1100L11CeMee,34,CA1100L11
CA1100L114CeMee,35,CA1100L114
CA1100L118CeMee,36,CA1100L118
CA1100L120,37,CA1100L120CeMee
CA1100L15,38,CA1100L15CeMee
CA1100L6,38,CA1100L15CeMee
CA1100L6CeMee,38,CA1100L15CeMee
CA1100L17CeMee,39,CA1100L17
CA1100L2CeMee,40,CA1100L2
CA1100L25CeMee,41,CA1100L25
CA1100L29CeMee,42,CA1100L29
CA1100L3,43,CA1100L4
CA1100L3CeMee,43,CA1100L4
