exper_data_id,pop_label,env_label,block_id,date_str,time_str,SF,SB,FS,FB,BS,BF,QC_label,temperature,rel_humidity,experiment_ind,logD,line_nb,population,session_id
B101-20180122_101915_proc,A6140L13,NGM,B101,20180122,101915,-0.312299176025603,-2.57251050196438,-2.55906748702895,-1.42163907367559,-3.93719328206149,-1.09318543602589,ok,21.6,60,788,4.74009198495124,13,A6140,D
B101-20180122_104222_proc,A6140L331,NGM,B101,20180122,104222,-0.155721975980723,-2.90963898971314,-2.96207402822665,-2.30120172588197,-3.81517352688479,-0.743977069042521,ok,22.2,58,789,4.75024378252915,331,A6140,D
B101-20180122_110325_proc,A6140L246,NGM,B101,20180122,110325,-0.256292086904936,-2.4177698079435,-2.77157202112444,-1.7924476987554,-3.87752921093883,-0.899579979060044,ok,22.9,54,790,4.74188248084625,246,A6140,D
B101-20180122_112523_proc,A6140L273,NGM,B101,20180122,112523,-0.0958031521521962,-3.0785371783975,-2.37203619687402,-1.53997686512228,-4.08863503726512,-0.488532751023592,ok,23.2,53,791,4.59656999908906,273,A6140,D
B101-20180122_114610_proc,A6140L236,NGM,B101,20180122,114610,-0.116308854079466,-1.03028035736813,-1.95656171345999,-0.916025887378438,-3.26420183569808,-1.24125437465952,ok,23.5,52,792,4.45234274879034,236,A6140,D
B101-20180122_120841_proc,A6140L228,NGM,B101,20180122,120841,-0.0861202174324592,-3.29212400838539,-2.43188071246791,-1.63978936182507,-4.15353583633066,-0.569333326329821,ok,23.6,51,793,4.3887294700917,228,A6140,D
B101-20180122_122941_proc,A6140L247,NGM,B101,20180122,122941,-1.90489255316225,0.516545078258917,-3.02706400092395,0.508194685279341,-3.79910026436391,-4.62332396419402,ok,23.8,50,794,5.35098204358774,247,A6140,D
B101-20180122_125041_proc,A6140L214,NGM,B101,20180122,125041,-0.0511245373662434,-2.65291517647425,-2.63786906886236,-2.01840643993437,-3.72531942442499,-0.715194116090538,ok,24,50,795,4.79061556897978,214,A6140,D
B101-20180122_131250_proc,A6140L239,NGM,B101,20180122,131250,-0.288405368318876,-2.79440311825707,-2.46136483226458,-1.67149784643675,-3.62204152207573,-0.647100288800283,ok,24,49,796,4.81519012911965,239,A6140,D
B101-20180122_133342_proc,A6140L248,NGM,B101,20180122,133342,-0.266589072917456,-3.18305132830136,-2.49817694517616,-1.52402658846215,-4.3701570476255,-0.85025620383176,ok,24.1,49,797,4.73834951835732,248,A6140,D
B101-20180122_135454_proc,A6140L250,NGM,B101,20180122,135454,-1.23506225995258,-1.69179115578399,-2.00609427787793,0.201976555448928,-4.87450957567029,-3.20602318066333,ok,24.2,49,798,4.84235266497685,250,A6140,D
B101-20180122_141543_proc,A6140L287,NGM,B101,20180122,141543,-0.287112116925116,-2.0993564663627,-2.12892615179917,-0.871341294919918,-4.44942177410953,-1.15225303110165,ok,24.3,49,799,4.3162254626462,287,A6140,D
B101-20180122_151604_proc,A6140L294,NGM,B101,20180122,151604,-0.63084105665951,-2.54461044425928,-2.62788740964224,-1.62743215645524,-3.18288937190403,-1.52422070516648,ok,24.5,48,800,5.00324568569223,294,A6140,D
B101-20180122_153734_proc,A6140L233,NGM,B101,20180122,153734,-0.444757328744003,-2.58889303927027,-2.42442215957996,-1.38251937670904,-4.14930064257506,-1.52301250618666,ok,24.6,47,801,4.89434432717969,233,A6140,D
B101-20180122_160323_proc,A6140L244,NGM,B101,20180122,160323,-0.362028073744681,-3.17460030545817,-2.48443872916251,-1.66326356009366,-3.40020474929301,-0.925849352338575,ok,24.6,46,802,5.05105146513909,244,A6140,D
